Arquivo,Pags Detectadas,Score Foco,Resultado
livro 81_1.jpg,1,16.0,ERRO: Foco muito baixo (16) - Imagem Borrada
livro 81_2.jpg,1,121.72,OK
livro 81_3.jpg,1,5273.31,OK
livro 81_4.jpg,2,6062.35,OK
livro 81_5.jpg,2,6325.51,OK
livro 81_6.jpg,1,6271.64,OK
livro 81_7.jpg,1,5985.47,OK
livro 81_8.jpg,1,6067.82,OK
livro 81_9.jpg,1,6108.41,OK
livro 81_10.jpg,1,5732.61,OK
livro 81_11.jpg,1,6242.14,OK
livro 81_12.jpg,1,5436.08,OK
livro 81_13.jpg,1,6105.74,OK
livro 81_14.jpg,1,5854.39,OK
livro 81_15.jpg,1,6198.03,OK
livro 81_16.jpg,1,6308.98,OK
livro 81_17.jpg,1,5582.51,OK
livro 81_18.jpg,1,5599.21,OK
livro 81_19.jpg,1,5454.94,OK
livro 81_20.jpg,1,5811.82,OK
livro 81_21.jpg,1,6038.14,OK
livro 81_22.jpg,2,5854.31,OK
livro 81_23.jpg,1,5878.36,OK
livro 81_24.jpg,2,5603.12,OK
livro 81_25.jpg,1,5489.61,OK
livro 81_26.jpg,1,5682.66,OK
livro 81_27.jpg,1,5755.16,OK
livro 81_28.jpg,1,6040.09,OK
livro 81_29.jpg,1,6241.0,OK
livro 81_30.jpg,1,5636.55,OK
livro 81_31.jpg,1,6072.62,OK
livro 81_32.jpg,1,6030.75,OK
livro 81_33.jpg,2,6522.38,OK
livro 81_34.jpg,1,5573.38,OK
livro 81_35.jpg,2,5865.11,OK
livro 81_36.jpg,1,6152.19,OK
livro 81_37.jpg,1,5705.84,OK
livro 81_38.jpg,1,5665.33,OK
livro 81_39.jpg,1,5390.05,OK
livro 81_40.jpg,2,5834.93,OK
livro 81_41.jpg,1,5625.85,OK
livro 81_42.jpg,1,5704.18,OK
livro 81_43.jpg,1,5656.62,OK
livro 81_44.jpg,1,5843.31,OK
livro 81_45.jpg,1,6071.62,OK
livro 81_46.jpg,1,6555.74,OK
livro 81_47.jpg,1,6530.31,OK
livro 81_48.jpg,1,6105.84,OK
livro 81_49.jpg,1,5642.55,OK
livro 81_50.jpg,1,6403.83,OK
livro 81_51.jpg,1,6045.85,OK
livro 81_52.jpg,1,5947.27,OK
livro 81_53.jpg,1,6297.33,OK
livro 81_54.jpg,1,5348.47,OK
livro 81_55.jpg,1,4535.52,OK
livro 81_56.jpg,1,4472.45,OK
livro 81_57.jpg,1,5195.21,OK
livro 81_58.jpg,1,5128.52,OK
livro 81_59.jpg,1,4921.21,OK
livro 81_60.jpg,1,6234.81,OK
livro 81_61.jpg,1,5102.34,OK
livro 81_62.jpg,1,4690.43,OK
livro 81_63.jpg,1,2410.9,OK
livro 81_64.jpg,1,3308.24,OK
livro 81_65.jpg,1,6523.47,OK
livro 81_66.jpg,1,6222.12,OK
livro 81_67.jpg,1,5654.32,OK
livro 81_68.jpg,1,5364.44,OK
livro 81_69.jpg,1,5914.87,OK
livro 81_70.jpg,1,6283.7,OK
livro 81_71.jpg,1,6148.6,OK
livro 81_72.jpg,1,5428.98,OK
livro 81_73.jpg,1,5929.69,OK
livro 81_74.jpg,1,5677.11,OK
livro 81_75.jpg,1,4269.88,OK
livro 81_76.jpg,1,4900.74,OK
livro 81_77.jpg,1,4554.28,OK
livro 81_78.jpg,1,4278.37,OK
livro 81_79.jpg,1,4537.79,OK
livro 81_80.jpg,1,4087.49,OK
livro 81_81.jpg,1,4502.28,OK
livro 81_82.jpg,1,4383.76,OK
livro 81_83.jpg,1,4884.81,OK
livro 81_84.jpg,1,4372.5,OK
livro 81_85.jpg,1,4518.93,OK
livro 81_86.jpg,1,4599.59,OK
livro 81_87.jpg,1,4439.38,OK
livro 81_88.jpg,1,5329.7,OK
livro 81_89.jpg,1,4901.97,OK
livro 81_90.jpg,1,4747.76,OK
livro 81_91.jpg,1,5247.45,OK
livro 81_92.jpg,1,4788.75,OK
livro 81_93.jpg,1,4535.01,OK
livro 81_94.jpg,1,5107.56,OK
livro 81_95.jpg,1,4854.43,OK
livro 81_96.jpg,1,4816.56,OK
livro 81_97.jpg,1,5993.0,OK
livro 81_98.jpg,1,5516.93,OK
livro 81_99.jpg,1,4852.11,OK
livro 81_100.jpg,1,5808.71,OK
livro 81_101.jpg,1,5774.06,OK
livro 81_102.jpg,1,3173.49,OK
